Rank,Points,Name,Country,Hand,Age,Category,Scrape_Date,id
58,25.750,ROBIN Noe,SENEGAL,L,23,Foil_Men_Senior,2024-06-27 03:18:24,58
59,25.500,SZEMES Gergo,HUNGARY,L,21,Foil_Men_Senior,2024-06-27 03:18:24,59
60,25.500,VAN CAMPENHOUT Stef,BELGIUM,L,26,Foil_Men_Senior,2024-06-27 03:18:24,60
61,25.500,BROSZUS Blake,CANADA,L,23,Foil_Men_Senior,2024-06-27 03:18:24,61
62,25.375,BEKKAT Thibaud,ALGERIA,R,28,Foil_Men_Senior,2024-06-27 03:18:24,62
63,25.250,YUNES Klod,UKRAINE,R,34,Foil_Men_Senior,2024-06-27 03:18:24,63
64,24.500,AGUIRRE Cesar,VENEZUELA,R,30,Foil_Men_Senior,2024-06-27 03:18:24,64
65,24.500,SUZUMURA Kenta,JAPAN,R,25,Foil_Men_Senior,2024-06-27 03:18:24,65
66,24.500,YOUN Jeonghyun,KOREA,R,23,Foil_Men_Senior,2024-06-27 03:18:24,66
67,23.750,ROBSON Samuel Elijah,SINGAPORE,R,18,Foil_Men_Senior,2024-06-27 03:18:24,67
68,23.625,ALARCON Leopoldo,CHILE,L,22,Foil_Men_Senior,2024-06-27 03:18:24,68
69,23.500,LIU Patrick,CANADA,L,21,Foil_Men_Senior,2024-06-27 03:18:24,69
70,23.000,CHEN Chih Chieh,CHINESE TAIPEI,R,23,Foil_Men_Senior,2024-06-27 03:18:24,70
71,23.000,LOUIE Bryce,USA,R,22,Foil_Men_Senior,2024-06-27 03:18:24,71
72,23.000,MERTINE Julien,FRANCE,R,36,Foil_Men_Senior,2024-06-27 03:18:24,72
73,22.500,LECHNER Moritz,AUSTRIA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,73
74,22.250,EL RHAZZOULY Amir,MOROCCO,L,21,Foil_Men_Senior,2024-06-27 03:18:24,74
75,21.500,ZENG Zhaoran,CHINA,R,19,Foil_Men_Senior,2024-06-27 03:18:24,75
76,21.000,INGARGIOLA Francesco,ITALY,R,27,Foil_Men_Senior,2024-06-27 03:18:24,76
77,20.500,WOJTKOWIAK Adrian,POLAND,R,25,Foil_Men_Senior,2024-06-27 03:18:24,77
78,20.500,TOFALIDES Alex,CYPRUS,L,31,Foil_Men_Senior,2024-06-27 03:18:24,78
79,20.500,IM Cheolwoo,KOREA,L,31,Foil_Men_Senior,2024-06-27 03:18:24,79
80,20.500,POGREBNIAK Andrii,UKRAINE,L,36,Foil_Men_Senior,2024-06-27 03:18:24,80
81,20.000,EMMER Chase,USA,R,19,Foil_Men_Senior,2024-06-27 03:18:24,81
82,20.000,SOSNOV David,GREAT BRITAIN,L,18,Foil_Men_Senior,2024-06-27 03:18:24,82
83,20.000,CHASTANET Maximilien,FRANCE,R,28,Foil_Men_Senior,2024-06-27 03:18:24,83
84,20.000,SIDO Alexandre,FRANCE,R,27,Foil_Men_Senior,2024-06-27 03:18:24,84
85,20.000,KLEIN Luis,GERMANY,R,25,Foil_Men_Senior,2024-06-27 03:18:24,85
86,20.000,COOK Jaimie,GREAT BRITAIN,R,19,Foil_Men_Senior,2024-06-27 03:18:24,86
87,19.750,SPOLJAR Borna,CROATIA,R,22,Foil_Men_Senior,2024-06-27 03:18:24,87
88,19.500,FUNAMOTO Seishiro,JAPAN,R,30,Foil_Men_Senior,2024-06-27 03:18:24,88
89,18.500,JURKIEWICZ Jan,POLAND,R,23,Foil_Men_Senior,2024-06-27 03:18:24,89
90,18.000,LEE Yat Long,"HONG KONG, CHINA",L,23,Foil_Men_Senior,2024-06-27 03:18:24,90
91,17.875,NIGOSANTI Andrea,ARGENTINA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,91
92,17.750,MADER Joffrey,FRANCE,R,25,Foil_Men_Senior,2024-06-27 03:18:24,92
93,17.500,ASRANOV Mukhammad Yusuf,UZBEKISTAN,L,20,Foil_Men_Senior,2024-06-27 03:18:24,93
94,17.000,REICHETZER Tobias,AUSTRIA,L,29,Foil_Men_Senior,2024-06-27 03:18:24,94
95,16.875,PADUA Carlos M.,PUERTO RICO,R,26,Foil_Men_Senior,2024-06-27 03:18:24,95
96,16.000,WU Bin,CHINA,L,26,Foil_Men_Senior,2024-06-27 03:18:24,96
97,15.750,ALVARES DE OLIVEIRA Victor,CAPE VERDE,R,27,Foil_Men_Senior,2024-06-27 03:18:24,97
98,15.500,MION Lorenzo,BRAZIL,R,20,Foil_Men_Senior,2024-06-27 03:18:24,98
99,15.500,ITO Takuma,JAPAN,R,25,Foil_Men_Senior,2024-06-27 03:18:24,99
100,15.000,PRATS Mathieu Cheickh Jaques,MALI,R,22,Foil_Men_Senior,2024-06-27 03:18:24,100
101,14.500,FILES Petar,CROATIA,R,26,Foil_Men_Senior,2024-06-27 03:18:24,101
102,14.250,MAROSTEGA Pedro,BRAZIL,R,27,Foil_Men_Senior,2024-06-27 03:18:24,102
103,14.250,BRICENO Janderson,VENEZUELA,R,29,Foil_Men_Senior,2024-06-27 03:18:24,103
104,14.250,OSPINA LADRON DE GUEVARA David,COLOMBIA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,104
105,14.000,CUK Veljko,SERBIA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,105
106,14.000,OLIVARES Marcello,USA,R,23,Foil_Men_Senior,2024-06-27 03:18:24,106
107,13.000,MARTINI Tommaso,ITALY,R,21,Foil_Men_Senior,2024-06-27 03:18:24,107
108,13.000,KIM Dongsu,KOREA,R,32,Foil_Men_Senior,2024-06-27 03:18:24,108
109,12.500,TOTH Gergely,HUNGARY,R,22,Foil_Men_Senior,2024-06-27 03:18:24,109
110,12.000,TYCHLER Pavel,SOUTH AFRICA,R,26,Foil_Men_Senior,2024-06-27 03:18:24,110
111,12.000,MADI Youcef,ALGERIA,R,26,Foil_Men_Senior,2024-06-27 03:18:24,111
112,12.000,FINSTERBUSH Ori,ISRAEL,R,21,Foil_Men_Senior,2024-06-27 03:18:24,112
113,12.000,BORODACHEV Anton,_AIN,R,24,Foil_Men_Senior,2024-06-27 03:18:24,113
114,11.625,HAMILTON Bogdan,CANADA,R,20,Foil_Men_Senior,2024-06-27 03:18:24,114
115,11.500,SADULLAEV Doniyor,UZBEKISTAN,L,27,Foil_Men_Senior,2024-06-27 03:18:24,115
116,11.500,KUMBLA Sidarth,USA,R,25,Foil_Men_Senior,2024-06-27 03:18:24,116
117,11.500,MYLNIKOV Vladislav,_AIN,L,23,Foil_Men_Senior,2024-06-27 03:18:24,117
118,11.250,POSCHARNIG Johannes,AUSTRIA,L,34,Foil_Men_Senior,2024-06-27 03:18:24,118
119,11.000,SERRI Cedrik,SLOVAKIA,R,33,Foil_Men_Senior,2024-06-27 03:18:24,119
120,10.750,ROSATELLI Damiano,ITALY,R,28,Foil_Men_Senior,2024-06-27 03:18:24,120
121,10.750,GLASSON Joseph,AUSTRALIA,R,18,Foil_Men_Senior,2024-06-27 03:18:24,121
122,10.750,SAITO Toshiya,JAPAN,R,27,Foil_Men_Senior,2024-06-27 03:18:24,122
123,10.625,FAUL Paul Luca,GERMANY,R,21,Foil_Men_Senior,2024-06-27 03:18:24,123
124,10.500,MARINO Nicolas,ARGENTINA,L,24,Foil_Men_Senior,2024-06-27 03:18:24,124
125,10.500,NEMETH Andras,HUNGARY,R,29,Foil_Men_Senior,2024-06-27 03:18:24,125
126,10.250,KALIYEV Tamirlan,KAZAKHSTAN,R,28,Foil_Men_Senior,2024-06-27 03:18:24,126
127,10.000,BOURTIS James,USA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,127
128,9.750,RIEGER Laurenz,GERMANY,L,22,Foil_Men_Senior,2024-06-27 03:18:24,128
129,9.500,MINOTT Kamal,GREAT BRITAIN,R,26,Foil_Men_Senior,2024-06-27 03:18:24,129
130,9.500,GASSNER Ethan,USA,L,22,Foil_Men_Senior,2024-06-27 03:18:24,130
131,9.500,SERVELLO Augusto Antonio,ARGENTINA,L,24,Foil_Men_Senior,2024-06-27 03:18:24,131
132,9.500,LEUNG Chin Yu,"HONG KONG, CHINA",R,19,Foil_Men_Senior,2024-06-27 03:18:24,132
133,9.500,HAYASHI Shoren,JAPAN,R,21,Foil_Men_Senior,2024-06-27 03:18:24,133
134,9.250,TANG Yuncong,CHINA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,134
135,9.000,NEO Max Wei Kit,SINGAPORE,L,21,Foil_Men_Senior,2024-06-27 03:18:24,135
136,9.000,NIJS Mathieu,BELGIUM,L,22,Foil_Men_Senior,2024-06-27 03:18:24,136
137,9.000,BARANNIKOV Egor,_AIN,L,21,Foil_Men_Senior,2024-06-27 03:18:24,137
138,9.000,ZHURAVLEV Vladislav,_AIN,L,27,Foil_Men_Senior,2024-06-27 03:18:24,138
139,8.875,HOIDA Danyil,UKRAINE,R,24,Foil_Men_Senior,2024-06-27 03:18:24,139
140,8.750,GARCIA-ALZORRIZ Roger,SPAIN,R,26,Foil_Men_Senior,2024-06-27 03:18:24,140
141,8.625,YOONG Hans Wei Shen,MALAYSIA,R,23,Foil_Men_Senior,2024-06-27 03:18:24,141
142,8.500,DI TOMMASO Alessio,ITALY,R,22,Foil_Men_Senior,2024-06-27 03:18:24,142
143,8.500,SPICHIGER Armand,FRANCE,L,23,Foil_Men_Senior,2024-06-27 03:18:24,143
144,8.375,PEREZ Nathaniel,PHILIPPINES,R,28,Foil_Men_Senior,2024-06-27 03:18:24,144
145,8.125,CHUCHUKALO Dmytro,UKRAINE,L,28,Foil_Men_Senior,2024-06-27 03:18:24,145
146,8.000,NURUMOV Galim,KAZAKHSTAN,R,20,Foil_Men_Senior,2024-06-27 03:18:24,146
147,8.000,WAKIM Philippe,LEBANON,R,24,Foil_Men_Senior,2024-06-27 03:18:24,147
148,8.000,ESPINOZA Joaquin,PERU,R,21,Foil_Men_Senior,2024-06-27 03:18:24,148
149,8.000,FUKUDA Ryosuke,JAPAN,R,19,Foil_Men_Senior,2024-06-27 03:18:24,149
150,8.000,NG Lok Wang Lawrence,"HONG KONG, CHINA",R,24,Foil_Men_Senior,2024-06-27 03:18:24,150
151,7.500,MIHALYI Andor Istvan,HUNGARY,R,21,Foil_Men_Senior,2024-06-27 03:18:24,151
152,7.500,LEAL Antonio J.,VENEZUELA,R,37,Foil_Men_Senior,2024-06-27 03:18:24,152
153,7.500,TRANQUILAN Sammuel,PHILIPPINES,L,25,Foil_Men_Senior,2024-06-27 03:18:24,153
154,7.500,ABE Yoshiki,JAPAN,R,28,Foil_Men_Senior,2024-06-27 03:18:24,154
155,7.375,SEMENEEV Radmir,UZBEKISTAN,R,18,Foil_Men_Senior,2024-06-27 03:18:24,155
156,7.375,FUKUDA Alessio,PERU,R,18,Foil_Men_Senior,2024-06-27 03:18:24,156
157,7.375,GUO Yifan,CHINA,R,18,Foil_Men_Senior,2024-06-27 03:18:24,157
158,7.250,ALARCON Gustavo,CHILE,R,25,Foil_Men_Senior,2024-06-27 03:18:24,158
159,7.250,ETTELT Maximilian,AUSTRIA,R,28,Foil_Men_Senior,2024-06-27 03:18:24,159
160,7.250,BRETEAU Ignacio,SPAIN,R,24,Foil_Men_Senior,2024-06-27 03:18:24,160
161,7.125,PERESSINI TORREGROSA Esteban,SPAIN,R,22,Foil_Men_Senior,2024-06-27 03:18:24,161
162,7.000,SEMENYUK Grigoriy,_AIN,L,25,Foil_Men_Senior,2024-06-27 03:18:24,162
163,6.750,ALARCON Juvenal,CHILE,L,27,Foil_Men_Senior,2024-06-27 03:18:24,163
164,6.750,LAZARENKO Ievgen,UKRAINE,R,20,Foil_Men_Senior,2024-06-27 03:18:24,164
165,6.625,VARGAS ESCOBAR Tomas,COLOMBIA,R,22,Foil_Men_Senior,2024-06-27 03:18:24,165
166,6.625,MURILLO DIAZ Jorge Eduardo,COLOMBIA,R,23,Foil_Men_Senior,2024-06-27 03:18:24,166
167,6.375,KIEW Zephaniah Ian,SINGAPORE,R,19,Foil_Men_Senior,2024-06-27 03:18:24,167
168,6.375,COLON LOPEZ Cesar,PUERTO RICO,R,22,Foil_Men_Senior,2024-06-27 03:18:24,168
169,6.375,ROGER Wallerand,FRANCE,R,25,Foil_Men_Senior,2024-06-27 03:18:24,169
170,6.375,GOREN Raz,ISRAEL,R,23,Foil_Men_Senior,2024-06-27 03:18:24,170
171,6.250,KHALIFA Abdalla,QATAR,R,20,Foil_Men_Senior,2024-06-27 03:18:24,171
172,6.250,OWAIDA Ali,QATAR,R,24,Foil_Men_Senior,2024-06-27 03:18:24,172
173,6.250,WEE Lionel,SINGAPORE,R,23,Foil_Men_Senior,2024-06-27 03:18:24,173
174,6.250,MARQUES Henrique,BRAZIL,L,27,Foil_Men_Senior,2024-06-27 03:18:24,174
175,6.250,ARIZA Isaac,PERU,L,21,Foil_Men_Senior,2024-06-27 03:18:24,175
176,6.250,MAO Liwu,CHINA,R,25,Foil_Men_Senior,2024-06-27 03:18:24,176
177,6.000,LUTAR Lucas,PERU,R,20,Foil_Men_Senior,2024-06-27 03:18:24,177
178,6.000,NASAAR Ali,KUWAIT,R,22,Foil_Men_Senior,2024-06-27 03:18:24,178
179,6.000,KOMSIC Ivan,CROATIA,R,34,Foil_Men_Senior,2024-06-27 03:18:24,179
180,6.000,LYU Weiqiao,CHINA,R,17,Foil_Men_Senior,2024-06-27 03:18:24,180
181,6.000,LAO Scott,VIRGIN ISLANDS,L,19,Foil_Men_Senior,2024-06-27 03:18:24,181
182,6.000,KATHIRESAN Bibish,INDIA,R,25,Foil_Men_Senior,2024-06-27 03:18:24,182
183,6.000,OSIPOV Dmitrii,_AIN,R,20,Foil_Men_Senior,2024-06-27 03:18:24,183
184,6.000,CHOI Minseo,KOREA,R,23,Foil_Men_Senior,2024-06-27 03:18:24,184
185,6.000,ESSAM Mohamed,EGYPT,R,29,Foil_Men_Senior,2024-06-27 03:18:24,185
186,5.625,CHENG Tristan Xing Han,MALAYSIA,R,25,Foil_Men_Senior,2024-06-27 03:18:24,186
187,5.500,KIM Sungjun,KOREA,R,27,Foil_Men_Senior,2024-06-27 03:18:24,187
188,5.375,LEMBERGER Eitan,ISRAEL,R,16,Foil_Men_Senior,2024-06-27 03:18:24,188
189,5.375,TOTUSEK Marek,CZECHIA,R,21,Foil_Men_Senior,2024-06-27 03:18:24,189
190,5.250,ARCHILEI Tommaso,MEXICO,R,22,Foil_Men_Senior,2024-06-27 03:18:24,190
191,5.250,LOO Keyon,SINGAPORE,L,18,Foil_Men_Senior,2024-06-27 03:18:24,191
192,5.250,CHAGNON Eliot,FRANCE,R,19,Foil_Men_Senior,2024-06-27 03:18:24,192
193,5.250,OISHI Riki,JAPAN,R,29,Foil_Men_Senior,2024-06-27 03:18:24,193
194,5.250,KLEIN Felix,GERMANY,R,28,Foil_Men_Senior,2024-06-27 03:18:24,194
195,5.000,CASTANIE Valerian,FRANCE,R,22,Foil_Men_Senior,2024-06-27 03:18:24,195
196,4.875,HATOEL Maor,ISRAEL,R,38,Foil_Men_Senior,2024-06-27 03:18:24,196
197,4.750,LAM Ho Long,"HONG KONG, CHINA",R,17,Foil_Men_Senior,2024-06-27 03:18:24,197
198,4.750,MACEDO Luis,PORTUGAL,L,23,Foil_Men_Senior,2024-06-27 03:18:24,198
199,4.750,YUEH Che-Hao,CHINESE TAIPEI,R,22,Foil_Men_Senior,2024-06-27 03:18:24,199
200,4.500,CHENG Tit Nam,"HONG KONG, CHINA",L,19,Foil_Men_Senior,2024-06-27 03:18:24,200
201,4.375,MOLINA Ilyas,UZBEKISTAN,L,20,Foil_Men_Senior,2024-06-27 03:18:24,201
202,4.250,PODRALSKI Adam,POLAND,R,22,Foil_Men_Senior,2024-06-27 03:18:24,202
203,4.250,HUSSEIN Khaled Aref,QATAR,L,20,Foil_Men_Senior,2024-06-27 03:18:24,203
204,4.250,BRICENO Jose,VENEZUELA,R,21,Foil_Men_Senior,2024-06-27 03:18:24,204
205,4.250,KAPPUS Bastian,GERMANY,R,19,Foil_Men_Senior,2024-06-27 03:18:24,205
206,4.250,ALKIS Can,TÜRKIYE,R,20,Foil_Men_Senior,2024-06-27 03:18:24,206
207,4.250,PIRK Akos,SLOVAKIA,R,19,Foil_Men_Senior,2024-06-27 03:18:24,207
208,4.250,KUCEBA Vitalijs,LATVIA,L,26,Foil_Men_Senior,2024-06-27 03:18:24,208
209,4.250,GU Daniel,CANADA,R,26,Foil_Men_Senior,2024-06-27 03:18:24,209
210,4.000,SOTO Ulises,MEXICO,R,21,Foil_Men_Senior,2024-06-27 03:18:24,210
211,4.000,STENBECK-SCHIAVO Dario,GREAT BRITAIN,R,20,Foil_Men_Senior,2024-06-27 03:18:24,211
212,4.000,BIBARD Tyvan,FRANCE,R,25,Foil_Men_Senior,2024-06-27 03:18:24,212
213,4.000,NAGIMOV Marsel,_AIN,R,20,Foil_Men_Senior,2024-06-27 03:18:24,213
214,4.000,KOZLOV Zakhar,_AIN,L,20,Foil_Men_Senior,2024-06-27 03:18:24,214
215,4.000,KUMBLA Samarth,USA,R,19,Foil_Men_Senior,2024-06-27 03:18:24,215
216,4.000,BIRD Harry,GREAT BRITAIN,R,26,Foil_Men_Senior,2024-06-27 03:18:24,216
217,4.000,KERYHUEL Jeremy Fafa,COTE D'IVOIRE,L,29,Foil_Men_Senior,2024-06-27 03:18:24,217
218,3.875,ROSENFELD Roey Eliyahu,ISRAEL,R,25,Foil_Men_Senior,2024-06-27 03:18:24,218
219,3.750,OURSLER Charles,USA,R,20,Foil_Men_Senior,2024-06-27 03:18:24,219
220,3.750,LESKOVAC Janko,CROATIA,R,20,Foil_Men_Senior,2024-06-27 03:18:24,220
221,3.750,JAKUBOWSKI Adam,POLAND,R,21,Foil_Men_Senior,2024-06-27 03:18:24,221
222,3.750,ANANE Anas,FRANCE,R,20,Foil_Men_Senior,2024-06-27 03:18:24,222
223,3.625,BRUNNER Remi,SWITZERLAND,R,22,Foil_Men_Senior,2024-06-27 03:18:24,223
224,3.625,DEV Dev,INDIA,R,22,Foil_Men_Senior,2024-06-27 03:18:24,224
225,3.500,FRANZONI Giuseppe,ITALY,R,20,Foil_Men_Senior,2024-06-27 03:18:24,225
226,3.500,SALMERON JIMENEZ Mihail Alejandro,EL SALVADOR,L,20,Foil_Men_Senior,2024-06-27 03:18:24,226
227,3.500,KWAK Junhyuk,KOREA,L,30,Foil_Men_Senior,2024-06-27 03:18:24,227
228,3.500,KONTOCHRISTOPOULOS Nikolaos,GREECE,R,31,Foil_Men_Senior,2024-06-27 03:18:24,228
229,3.500,WU Nicholas Ze-Wei,CANADA,R,18,Foil_Men_Senior,2024-06-27 03:18:24,229
230,3.500,CHEN Ziyuan,CHINA,L,20,Foil_Men_Senior,2024-06-27 03:18:24,230
231,3.375,DONAGHUE Joe,GREAT BRITAIN,L,21,Foil_Men_Senior,2024-06-27 03:18:24,231
232,3.375,DESERANNO Don Jeidus,USA,R,16,Foil_Men_Senior,2024-06-27 03:18:24,232
233,3.250,STELLA Alessandro,ITALY,R,24,Foil_Men_Senior,2024-06-27 03:18:24,233
234,3.250,FELIPE Prince John Francis,PHILIPPINES,R,21,Foil_Men_Senior,2024-06-27 03:18:24,234
235,3.250,VILLACRESES BRAVO Mathias Xavier,ECUADOR,R,23,Foil_Men_Senior,2024-06-27 03:18:24,235
236,3.250,GRAJALES MENA Miguel Angel,COLOMBIA,R,23,Foil_Men_Senior,2024-06-27 03:18:24,236
237,3.250,NISHIGUCHI Yasutaka,JAPAN,R,21,Foil_Men_Senior,2024-06-27 03:18:24,237
238,3.000,PISTORIO Federico,ITALY,R,23,Foil_Men_Senior,2024-06-27 03:18:24,238
239,3.000,KOZAK Mateusz,POLAND,R,25,Foil_Men_Senior,2024-06-27 03:18:24,239
240,3.000,NGUYEN Minh Quang,VIETNAM,L,26,Foil_Men_Senior,2024-06-27 03:18:24,240
241,3.000,FARIA Matthew,AUSTRALIA,R,37,Foil_Men_Senior,2024-06-27 03:18:24,241
242,3.000,ALARCON David,CHILE,R,20,Foil_Men_Senior,2024-06-27 03:18:24,242
243,3.000,DEEJING Ratchanavi,THAILAND,R,24,Foil_Men_Senior,2024-06-27 03:18:24,243
244,3.000,LAM Pak Kio,"MACAO, CHINA",R,17,Foil_Men_Senior,2024-06-27 03:18:24,244
245,3.000,KUMAR Akash,INDIA,L,20,Foil_Men_Senior,2024-06-27 03:18:24,245
246,3.000,ARJUN Arjun,INDIA,R,27,Foil_Men_Senior,2024-06-27 03:18:24,246
247,3.000,AL JALLAF Hamad,UNITED ARAB EMIRATES,R,24,Foil_Men_Senior,2024-06-27 03:18:24,247
248,3.000,KOROM Erik,HUNGARY,R,23,Foil_Men_Senior,2024-06-27 03:18:24,248
249,3.000,NGUYEN Van Hai,VIETNAM,R,26,Foil_Men_Senior,2024-06-27 03:18:24,249
250,3.000,FOSTER Matt,AUSTRALIA,R,27,Foil_Men_Senior,2024-06-27 03:18:24,250
251,3.000,LIU Yin-Yuan,CHINESE TAIPEI,R,20,Foil_Men_Senior,2024-06-27 03:18:24,251
252,3.000,CHOI Jiwoo,KOREA,R,19,Foil_Men_Senior,2024-06-27 03:18:24,252
253,3.000,ZHANG Daniel,USA,R,19,Foil_Men_Senior,2024-06-27 03:18:24,253
254,3.000,IVANOV Alexey,_AIN,R,20,Foil_Men_Senior,2024-06-27 03:18:24,254
255,2.750,TAN Raphael Juan Kang,SINGAPORE,L,18,Foil_Men_Senior,2024-06-27 03:18:24,255
256,2.750,ADOUL Raian,ITALY,R,21,Foil_Men_Senior,2024-06-27 03:18:24,256
257,2.750,MASCIOLI Alberto,GREAT BRITAIN,R,21,Foil_Men_Senior,2024-06-27 03:18:24,257
