id,name,country,weapon,gender,points,date,level,hand,height,rank,flag,image
39355,LAN Minghao,CHINA,E,M,70.000,1996-08-28,S,R,,21,CHN,https://static.fie.org/uploads/30/152354-7d3b758131a6b9ce7558a44324a0a3b%281%29.jpg
36648,ANDRASFI Tibor,HUNGARY,E,M,68.000,1999-12-10,S,R,,22,HUN,https://static.fie.org/uploads/20/103001-Andr%C3%A1sfi%20Tibor2.jpg
41784,MIDELTON Luidgi,FRANCE,E,M,66.000,1998-10-20,S,R,,23,FRA,https://static.fie.org/uploads/18/94524-midelton.jpg
46746,FRAZAO Miguel,PORTUGAL,E,M,66.000,2002-07-25,S,R,,24,POR,https://static.fie.org/uploads/33/167217-Miguel%20Fraz%C3%A3o.jpeg
27993,BAYARD Alexis,SWITZERLAND,E,M,64.000,1996-06-11,S,L,,25,SUI,https://static.fie.org/uploads/7/38912-BAYARD-alexis.jpg
12246,LIMARDO Francisco,VENEZUELA,E,M,59.750,1987-03-27,S,R,180,26,VEN,https://static.fie.org/uploads/9/49050-LIMARDO%20FRANCISCO.jpg
54823,IMREK Samuel,USA,E,M,58.750,2005-08-17,S,L,,27,USA,https://static.fie.org/uploads/33/168370-imrek.jpg
16463,KWEON Youngjun,KOREA,E,M,58.500,1987-03-29,S,R,,28,KOR,https://static.fie.org/uploads/17/88633-KOR_Athlete_KWEON_Youngjun.jpg
37711,CUOMO Valerio,ITALY,E,M,57.000,1998-04-18,S,R,,29,ITA,https://static.fie.org/uploads/34/170028-CUOMO%20Valerio.jpg
32708,BRINKMANN Marco,GERMANY,E,M,54.000,1997-04-12,S,L,,30,GER,https://static.fie.org/uploads/31/157716-M.Brinkmann.jpg
34620,NAGY David,HUNGARY,E,M,53.250,1999-07-14,S,R,,31,HUN,https://static.fie.org/uploads/24/122890-_MRT2844.jpg
19507,VUORINEN Niko,FINLAND,E,M,51.000,1989-06-08,S,L,,32,FIN,https://static.fie.org/uploads/9/47083-Niko2016.jpg
38700,KIM Jaewon,KOREA,E,M,50.750,1998-02-04,S,L,,33,KOR,https://static.fie.org/uploads/7/35605-.jpg
28000,MALCOTTI Lucas,SWITZERLAND,E,M,50.000,1995-01-09,S,R,,34,SUI,https://static.fie.org/uploads/7/36441-_K4A0757.jpg
32285,VAN NUNEN David,NETHERLANDS,E,M,49.000,1995-07-17,S,R,,35,NED,https://static.fie.org/uploads/22/113556-David%20van%20Nunen.jpg
54730,ZHANG Nicholas,CANADA,E,M,47.500,2006-06-20,S,R,,36,CAN,https://static.fie.org/uploads/31/157059-CANADA_Nicholas_Zhang_Athlete.jpg
26906,ANTKIEWICZ Mateusz,POLAND,E,M,45.750,1993-11-02,S,R,,37,POL,https://static.fie.org/uploads/26/133928-Mateusz%20Antkiewicz.jpg
49231,PIATTI Enrico,ITALY,E,M,45.500,2002-02-26,S,R,,38,ITA,https://static.fie.org/uploads/34/170061-PIATTI%20Enrico.jpg
30971,LUGO Grabiel,VENEZUELA,E,M,45.000,1996-09-19,S,R,,39,VEN,https://static.fie.org/uploads/8/43241-2016-02-07%2011.40.14.jpg
46541,MATSUMOTO Ryu,JAPAN,E,M,43.500,2002-06-07,S,R,,40,JPN,https://static.fie.org/uploads/31/159142-JPN_ATHLETE_MATSUMOTO_Ryu.jpg
28816,GIANNOTTE Flavio,LUXEMBOURG,E,M,39.000,1995-05-06,S,R,,41,LUX,https://static.fie.org/uploads/33/169779-GIANNOTTE_Flavio_2022.jpg
24970,ELKORD Houssam,MOROCCO,E,M,37.250,1993-02-24,S,L,,42,MAR,https://static.fie.org/uploads/23/119037-176E9BE1-E910-43C4-BAE2-FE72B23D5140.jpeg
36104,RAMIREZ Yeisser,USA,E,M,37.000,1986-11-05,S,R,,43,USA,https://static.fie.org/uploads/7/38140-Ramirez%2C%20Yessier.jpg
38901,SVENSSON Jonathan,SWEDEN,E,M,36.375,1999-10-04,S,R,,44,SWE,https://static.fie.org/uploads/25/126678-JS5.jpg
30924,BARGUES Manuel,SPAIN,E,M,36.250,1995-02-23,S,R,,45,ESP,https://static.fie.org/uploads/33/165421-BARGUES_FUENTES_MANUEL_PAM851775.jpg
32464,ELSAYED Ahmed,EGYPT,E,M,36.125,1998-07-13,S,R,175,46,EGY,https://static.fie.org/uploads/9/46046-ahmed%20elsayed.jpg
10813,ALIMZHANOV Elmir,KAZAKHSTAN,E,M,36.000,1986-10-05,S,R,,47,KAZ,https://static.fie.org/uploads/28/143496-alim.jpg
6000,HEINZER Max,SWITZERLAND,E,M,35.750,1987-08-07,S,R,,48,SUI,https://static.fie.org/uploads/7/38774-HEINZER-Max_1.jpg
19926,TULEN Tristan,NETHERLANDS,E,M,35.000,1991-07-22,S,L,,49,NED,https://static.fie.org/uploads/26/134334-Tristan%20Tulen.jpeg
2224,BERAN Jiri,CZECHIA,E,M,34.000,1982-01-18,S,R,192,50,CZE,https://static.fie.org/uploads/27/139399-Czech_Beran_Jiri_AT.jpg
24055,SANTARELLI Andrea,ITALY,E,M,32.500,1993-06-03,S,R,,51,ITA,https://static.fie.org/uploads/34/170067-SANTARELLI%20Andrea.jpg
31226,EL HAOUARI Abdelkarim,MOROCCO,E,M,32.375,1993-12-19,S,L,,52,MAR,https://static.fie.org/uploads/2/14003-31226.jpg
30835,FRENCH Dylan,CANADA,E,M,32.375,1997-05-16,S,R,,53,CAN,https://static.fie.org/uploads/31/157058-CANADA_Dylan_French_Athlete.jpg
32473,MAHRINGER Josef,AUSTRIA,E,M,32.000,1997-07-02,S,L,,54,AUT,https://static.fie.org/uploads/32/163125-Mahringer%20Josef.jpg
34279,UNTERHAUSER Samuel,GERMANY,E,M,30.625,1997-07-12,S,L,,55,GER,https://static.fie.org/uploads/31/157717-S.Unterhauser.jpg
48661,GE Yilu,CHINESE TAIPEI,E,M,30.250,1999-04-26,S,R,,56,TPE,https://static.fie.org/uploads/33/166475-S__21422098.jpg
45919,GALABOV Yordan,BULGARIA,E,M,30.000,2002-11-25,S,R,,57,BUL,https://static.fie.org/uploads/33/169083-yordan%20Galabov.jpg
32009,PAAVOLAINEN Jaakko,FINLAND,E,M,29.750,1996-12-23,S,R,,58,FIN,https://static.fie.org/uploads/5/28358-Jaakko.jpg
40070,GAETANI Giulio,ITALY,E,M,29.500,2000-07-24,S,R,,59,ITA,https://static.fie.org/uploads/34/170039-GAETANI%20Giulio.jpg
14714,JORGENSEN Patrick,DENMARK,E,M,29.250,1991-05-31,S,R,,60,DEN,https://static.fie.org/uploads/18/93678-foto%20Patrick.jpeg
31008,ROA Hernando,COLOMBIA,E,M,28.625,1995-08-30,S,R,,61,COL,https://static.fie.org/uploads/31/159904-image0.jpeg
32821,ALLEGRE Paul,FRANCE,E,M,28.000,1996-06-02,S,R,,62,FRA,https://static.fie.org/uploads/7/35490-FFE-LOGO-QUADRI%20copie.jpg
32745,BIELEC Maciej,POLAND,E,M,28.000,1997-09-17,S,L,,63,POL,https://static.fie.org/uploads/26/133687-Bielec_Maciej.jpg
31494,LOSEVSKIY Sergey,SOUTH AFRICA,E,M,26.250,1983-06-12,S,R,,64,RSA,https://static.fie.org/uploads/33/165995-passport%20photo%20losevskiy.jpeg
34743,CAMARGO Alexandre,BRAZIL,E,M,26.125,1999-04-25,S,L,180,65,BRA,https://static.fie.org/uploads/20/104925-Epee%20%20Foil%20camargo_alexanre.jpg
9367,PRIINITS Sten,ESTONIA,E,M,26.000,1987-11-10,S,R,193,66,EST,https://static.fie.org/uploads/23/115584-Sten.jpg
42735,HAURI Ian,SWITZERLAND,E,M,25.250,2002-06-10,S,R,,67,SUI,https://static.fie.org/uploads/16/82670-2016%20Lucerne%20IanMatteo.jpg
45198,XIU Yuhan,CHINA,E,M,25.000,1998-05-31,S,R,,68,CHN,https://static.fie.org/uploads/18/90527-XYH.jpg
30838,LOPEZ POURTIER Nelson,FRANCE,E,M,25.000,1995-05-13,S,R,,69,FRA,https://static.fie.org/uploads/23/117374-LOPEZ%20POURTIER_Nelson.jpg
26700,PEREIRA Yulen,SPAIN,E,M,25.000,1995-07-12,S,R,,70,ESP,https://static.fie.org/uploads/4/24898-1.png
28840,NG Ho Tin,"HONG KONG, CHINA",E,M,24.750,1996-08-08,S,L,,71,HKG,https://static.fie.org/uploads/2/11455-28840.jpg
42729,FAVRE Hadrien,SWITZERLAND,E,M,24.625,2001-08-26,S,R,,72,SUI,https://static.fie.org/uploads/16/82659-hadrien.png
35589,DIABATE Keletigui,MALI,E,M,24.000,1996-02-03,S,L,,73,MLI,https://static.fie.org/uploads/16/83696-diabate.jpg
37603,EWART Stephen,USA,E,M,23.875,1999-08-23,S,L,,74,USA,https://static.fie.org/uploads/15/78496-Ewart%2C%20Stephen.jpg
43327,BIRO Alexander,AUSTRIA,E,M,23.750,2001-11-19,S,R,,75,AUT,https://static.fie.org/uploads/32/163108-Biro%20Alexander.jpg
50791,SZAPARY Tristan,USA,E,M,23.750,2001-10-18,S,L,,76,USA,https://static.fie.org/uploads/22/112114-Szapary%2C%20Tristan.jpg
6433,REIZLIN Igor,UKRAINE,E,M,23.500,1984-02-07,S,R,,77,UKR,https://static.fie.org/uploads/2/10612-6433.jpg
35041,JURKA Jakub,CZECHIA,E,M,23.000,1999-06-13,S,L,,78,CZE,https://static.fie.org/uploads/27/139400-Czech_Jurka_Jakub_AT.jpg
27058,RUBES Martin,CZECHIA,E,M,22.625,1996-09-16,S,R,,79,CZE,https://static.fie.org/uploads/25/126401-Czech_Rubes_Martin_Athlete.jpg
34991,ALIMOV Fayzulla,UZBEKISTAN,E,M,22.250,1998-12-23,S,R,,80,UZB,https://static.fie.org/uploads/18/94900-UZB_Athlete_ALIMOV_Fayzulla.jpg.jpg
37448,BEUGRE Bedi Paul Alex,COTE D'IVOIRE,E,M,21.875,1999-03-08,S,R,167,81,CIV,https://static.fie.org/uploads/9/46756-Scan10087.jpg
20889,MAKIIENKO Ievgen,UKRAINE,E,M,21.500,1991-07-20,S,R,,82,UKR,https://static.fie.org/uploads/2/13397-20889.jpg
22390,ANOKHIN Vadim,_AIN,E,M,21.000,1992-01-02,S,R,,83,_AIN,https://static.fie.org/uploads/22/110162-%20%D0%B2%D0%B0%D0%B4%D0%B8%D0%BC.jpg
31032,SHARLAIMOV Vadim,KAZAKHSTAN,E,M,21.000,1996-12-09,S,R,,84,KAZ,https://static.fie.org/uploads/22/113515-KAZ_Athlete_SHARLAIMOV_Vadim.jpg
37376,FAFARD Fynn,CANADA,E,M,20.500,2000-04-08,S,R,,85,CAN,https://static.fie.org/uploads/31/157060-CANADA_Fynn_Fafard_Athlete.jpg
49018,SITO Jian Tong,SINGAPORE,E,M,20.500,2003-08-09,S,R,,86,SGP,https://static.fie.org/uploads/27/136320-SI%20TO%20Jian%20Tong%20%282%29.jpg
51495,BILLA Gaetan,FRANCE,E,M,20.000,2000-09-21,S,L,,87,FRA,https://static.fie.org/uploads/31/156274-aaa.jpg
46083,SON Minseong,KOREA,E,M,19.750,1999-07-31,S,L,,88,KOR,https://static.fie.org/uploads/18/93685-.jpg
40009,BUZZACCHINO Gianpaolo,ITALY,E,M,19.500,1999-11-29,S,L,,89,ITA,https://static.fie.org/uploads/34/170022-BUZZACCHINO%20Gianpaolo.jpg
37142,SERTAY Yerlik,KAZAKHSTAN,E,M,19.500,1998-09-19,S,R,,90,KAZ,https://static.fie.org/uploads/31/155995-KAZ_Athlete_SERTAY_Yerlik2.jpeg
46558,HANSEN Jonas,USA,E,M,19.000,2001-05-14,S,R,,91,USA,https://static.fie.org/uploads/26/132004-Hansen%2C%20Jonas.jpeg
22435,FONG Hoi Sun,"HONG KONG, CHINA",E,M,18.750,1993-01-15,S,R,,92,HKG,https://static.fie.org/uploads/1/9663-22435.jpg
34540,KONGSTAD Conrad Seibaek,DENMARK,E,M,18.500,1997-02-11,S,R,,93,DEN,https://static.fie.org/uploads/16/80339-Conrad%20Seibeck%20Kongstad.jpg
36603,JOHANIDES Lukas Jakub,SLOVAKIA,E,M,18.125,1999-09-21,S,R,,94,SVK,https://static.fie.org/uploads/7/35916-B%C5%A0K_Johanides%202014.jpg
15336,HERZBERG Fabian,GERMANY,E,M,17.750,1988-02-02,S,R,,95,GER,https://static.fie.org/uploads/33/169747-Herzberg.jpg
20433,ITO Inochi,JAPAN,E,M,17.250,1990-02-27,S,L,,96,JPN,https://static.fie.org/uploads/15/79930-1_ito.jpg
28926,LIMARDO Jesus,VENEZUELA,E,M,17.125,1996-02-29,S,R,170,97,VEN,https://static.fie.org/uploads/2/11121-28926.jpg
24120,SVICHKAR Roman,UKRAINE,E,M,17.000,1993-06-18,S,L,,98,UKR,https://static.fie.org/uploads/2/14581-24120.jpg
30169,ROMERO Juan Pedro,SPAIN,E,M,17.000,1992-06-12,S,R,,99,ESP,https://static.fie.org/uploads/7/37617-ROMERO%2C%20JUAN%20PEDRO.jpg
30882,HO Wai Hang,"HONG KONG, CHINA",E,M,16.625,1996-04-07,S,R,,100,HKG,https://static.fie.org/uploads/2/11836-30882.jpg
37563,JOSE Noelito,PHILIPPINES,E,M,16.125,1997-02-07,S,R,,101,PHI,https://static.fie.org/uploads/8/42231-FENCING_ATHLETE_JOSE_NOELITO_JR..jpg
33183,NUNEZ Pablo,CHILE,E,M,15.875,1993-12-20,S,L,191,102,CHI,https://static.fie.org/uploads/8/43074-Foto%20Pablo%20Nu%C3%B1ez%202016.jpg
48138,HASANOV Ruslan,AZERBAIJAN,E,M,15.750,2001-01-26,S,L,191,103,AZE,https://static.fie.org/uploads/28/141015-athlete_AZE_Ruslan_Hasanov.jpg
34274,GAVALDA Eugeni,SPAIN,E,M,15.500,1996-07-26,S,R,,104,ESP,https://static.fie.org/uploads/7/36669-GAVALDA%2C%20EUGENI.jpg
43201,JEAN JOSEPH Kendrick,FRANCE,E,M,15.500,2001-05-08,S,R,,105,FRA,https://static.fie.org/uploads/24/122469-FRA_JEAN-JOSEPH_Kendrick_Athl%C3%A8te%20EHJ.jpg
23664,NOLLNER Dylan,USA,E,M,15.500,1992-05-13,S,R,188,106,USA,https://static.fie.org/uploads/8/40907-Noller%2C%20Dylan.jpg
29229,MA Segeon,KOREA,E,M,15.500,1994-01-24,S,L,,107,KOR,https://static.fie.org/uploads/7/35606-.jpg
34658,ALOMAIRI Khalifah,SAUDI ARABIA,E,M,15.125,1998-10-19,S,R,,108,KSA,https://static.fie.org/uploads/32/164493-smallpdf%20-%20%D9%A0%D9%A6%20%D9%86%D9%88%D9%81%D9%85%D8%A8%D8%B1%20%D9%A2%D9%A0%D9%A2%D9%A3%20-%20%D9%A1%D9%A1%D9%A5%D9%A5%D9%A3%D9%A4_page-0001.jpg
46193,MENCARELLI Simone,ITALY,E,M,15.000,2003-05-24,S,R,,109,ITA,https://static.fie.org/uploads/20/103925-MENCARELLI%20Simone.jpg
38358,KUMAR Sunil,INDIA,E,M,14.500,1989-09-07,S,L,181,110,IND,https://static.fie.org/uploads/6/31854-SUNIL_KUMAR.jpg
47042,ARMALEO Filippo,ITALY,E,M,14.500,2002-01-10,S,L,,111,ITA,https://static.fie.org/uploads/34/170014-ARMALEO%20Filippo.jpg
32941,ELSOKKARY Ahmad,EGYPT,E,M,14.500,1997-12-16,S,L,171,112,EGY,https://static.fie.org/uploads/2/13578-32941.jpg
36663,KOLANCZYK Wojciech,POLAND,E,M,14.375,1999-07-14,S,L,,113,POL,https://static.fie.org/uploads/7/36577-Kola%C5%84czyk%20Wojciech.jpg
7227,BESKIN Grigori,ISRAEL,E,M,14.250,1987-06-21,S,R,185,114,ISR,https://static.fie.org/uploads/28/143219-.jpeg
46391,COHEN Yonatan,ISRAEL,E,M,14.000,2003-06-05,S,L,180,115,ISR,https://static.fie.org/uploads/29/149580-WhatsApp%20Image%202023-01-19%20at%2017.22.09.jpeg
27489,DORATI AMEGLIO Arturo Isaac,PANAMA,E,M,13.875,1986-08-18,S,R,187,116,PAN,https://static.fie.org/uploads/33/168372-Screenshot_20240411_165411_WhatsApp.jpg
26558,GUNPUT Satya,MAURITIUS,E,M,13.750,1991-10-30,S,R,,117,MRI,https://static.fie.org/uploads/3/19319-GUNPUTSatyaMRI.jpg
46362,OJEDA BUITRAGO Daniel,COSTA RICA,E,M,13.500,2004-10-15,S,R,,118,CRC,https://static.fie.org/uploads/18/94286-IMG_3024.jpg
40792,SANER Harry,SOUTH AFRICA,E,M,13.500,2000-09-18,S,R,,119,RSA,https://static.fie.org/uploads/18/93646-10422C1C-FA88-40A8-998B-69D1D78BA351.jpeg
28887,LUGONES RUGGERI Jesus Andres,ARGENTINA,E,M,13.500,1991-12-26,S,R,196,120,ARG,https://static.fie.org/uploads/2/11214-28887.jpg
57622,PAGANELLI Marco,ITALY,E,M,13.250,2003-09-02,S,R,,121,ITA,https://static.fie.org/uploads/29/145847-PAGANELLI%20Marco%20foto.jpg
31849,ESKOV Ruslan,ESTONIA,E,M,13.000,1998-09-09,S,L,,122,EST,https://static.fie.org/uploads/5/28803-eskov.jpg
18683,HARPER Ido,ISRAEL,E,M,13.000,1991-10-12,S,R,181,123,ISR,https://static.fie.org/uploads/28/143200-WhatsApp%20Image%202022-06-09%20at%2018.43.39.jpeg
29248,LEE Jungham,KOREA,E,M,13.000,1991-06-28,S,L,,124,KOR,https://static.fie.org/uploads/7/35604-.jpg
38939,ROUSSEL Thomas,COTE D'IVOIRE,E,M,12.875,1998-01-11,S,R,,125,CIV,https://static.fie.org/uploads/31/155631-PHOTO%20THOMAS%20ROUSSEL.jpg
31502,TULEN Rafael,NETHERLANDS,E,M,12.625,1997-06-01,S,R,,126,NED,https://static.fie.org/uploads/7/35458-Rafael%20Tulen.jpg
37605,GUSMAN Agustin Adolfo,ARGENTINA,E,M,12.625,1998-02-21,S,R,178,127,ARG,https://static.fie.org/uploads/5/29131-AGUSTIN%20ADOLFO%20GUSM%C3%81N%20MENTEGUIAGA.jpg
55615,ALMANE Abdulrhman,KUWAIT,E,M,12.625,1994-09-11,S,L,,128,KUW,https://static.fie.org/uploads/27/138017-%20%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86%20%D8%A7%D9%84%D9%85%D8%A7%D9%86%D8%B9.png
32977,NURMATOV Javokhirbek,UZBEKISTAN,E,M,12.500,1997-05-26,S,R,,129,UZB,https://static.fie.org/uploads/3/15779-32977.jpg
19240,DIALLO Cheikh Omar,SENEGAL,E,M,12.000,1986-10-12,S,R,,130,SEN,https://static.fie.org/uploads/19/97098-PHOTO%20COD.jpg
30338,SAGNAN Bourama Keba,SENEGAL,E,M,12.000,1997-12-10,S,R,,131,SEN,https://static.fie.org/uploads/2/11661-30338.jpg
30379,NAHI Omar,MOROCCO,E,M,12.000,1993-09-28,S,R,,132,MAR,https://static.fie.org/uploads/9/47426-10891974_827014064024927_6102918501262869926_n.jpg
36515,MCDOWALD Curtis,USA,E,M,12.000,1996-01-23,S,R,,133,USA,https://static.fie.org/uploads/26/130130-McDowald%2C%20Curtis.jpg
43271,VALDERRAMA Jorge,CHILE,E,M,12.000,2001-05-13,S,L,169,134,CHI,https://static.fie.org/uploads/17/85459-Foto%20J.%20Valderrama.jpg
51586,HOAREAU-BERKANI Raphael Jacques,ALGERIA,E,M,12.000,2002-06-29,S,R,180,135,ALG,https://static.fie.org/uploads/23/118557-Capture.png
38938,GALLY Aymerick,FRANCE,E,M,12.000,1997-03-30,S,R,,136,FRA,https://static.fie.org/uploads/19/98231-Aymerick%20GALLY2.jpg
26736,IBANEZ Alvaro,SPAIN,E,M,11.500,1995-05-25,S,R,,137,ESP,https://static.fie.org/uploads/2/12297-26736.jpg
18600,CUPR Michal,CZECHIA,E,M,11.375,1991-12-23,S,R,,138,CZE,https://static.fie.org/uploads/31/155213-Czech_CUPR_Michal_athlete.jpg
22877,NGUYEN Tien Nhat,VIETNAM,E,M,11.000,1990-04-05,S,R,184,139,VIE,https://static.fie.org/uploads/2/10665-22877.jpg
37309,CHAU Chak Hin Nicholas,"HONG KONG, CHINA",E,M,11.000,1995-05-14,S,L,,140,HKG,https://static.fie.org/uploads/8/42169-DSCF9990-1.jpg
57450,YANG Fengming,CHINA,E,M,11.000,1999-03-20,S,R,,141,CHN,https://static.fie.org/uploads/29/145191-.jpg
40048,DJATSUK Filipp,ESTONIA,E,M,10.875,1999-02-12,S,R,,142,EST,https://static.fie.org/uploads/8/41789-Djatsuk_Filipp.jpg
46291,BROCHARD Theo,SWITZERLAND,E,M,10.250,2003-05-23,S,L,,143,SUI,https://static.fie.org/uploads/31/155225-IMG-3185.jpg
36901,CROOK Lachlan,AUSTRALIA,E,M,10.250,1998-03-11,S,R,,144,AUS,https://static.fie.org/uploads/5/27729-Photo%20-%20Crook%2C%20Lachlan.jpg
53590,BROOKE Alec,GREAT BRITAIN,E,M,10.250,2005-05-04,S,L,,145,GBR,https://static.fie.org/uploads/27/135372-BROOKE_Alec_GBR_athlete.jpg
49420,ELSAYED Mahmoud,EGYPT,E,M,10.125,2005-04-25,S,R,,146,EGY,https://static.fie.org/uploads/33/166965-Picture2.jpg
45746,SMOAK Omari,USA,E,M,10.125,1998-11-10,S,R,,147,USA,https://static.fie.org/uploads/18/92322-Smoak%2C%20Omari.jpg
52814,SARKISYAN Artem,_AIN,E,M,10.000,2004-04-07,S,L,,148,_AIN,https://static.fie.org/uploads/25/125567-%20%D0%B0%D1%80%D1%82%D1%91%D0%BC.jpg
27862,BELLMANN Lukas,GERMANY,E,M,10.000,1995-01-14,S,R,,149,GER,https://static.fie.org/uploads/33/169764-Bellmann.jpg
51035,VINEIS Sven,SWITZERLAND,E,M,9.750,2003-12-19,S,R,,150,SUI,https://static.fie.org/uploads/30/152585-Screenshot%20at%20Mar%2001%2013-58-08.png
43306,MUMINOV Nodirbek,UZBEKISTAN,E,M,9.750,2000-08-22,S,R,,151,UZB,https://static.fie.org/uploads/17/85546-UZB_Athlete_MOMINOV_Nodirbek.jpg
48800,HADDAD Justin,USA,E,M,9.750,2002-05-16,S,R,,152,USA,https://static.fie.org/uploads/20/100804-Haddad%2C%20Justin.jpg
30796,ISLAS FLYGARE Linus,SWEDEN,E,M,9.625,1998-01-07,S,R,,153,SWE,https://static.fie.org/uploads/8/42735-linus.islas-flygare.jpg
32874,PETROV Roman,KYRGYZSTAN,E,M,9.500,1991-09-19,S,R,,154,KGZ,https://static.fie.org/uploads/31/156263-PETROV.jpg
54903,XIAO Ruibo (Leon),CANADA,E,M,9.375,2003-09-06,S,R,,155,CAN,https://static.fie.org/uploads/27/136249-Ruibo-Leon%20Xiao.png
22540,BODOCZI Nikolaus,GERMANY,E,M,9.375,1993-08-27,S,R,,156,GER,https://static.fie.org/uploads/21/109487-Nikolaus%20Bodoczi.jpg
5511,ZAWROTNIAK Radoslaw,POLAND,E,M,9.375,1981-09-02,S,L,181,157,POL,https://static.fie.org/uploads/21/105051-Zawrotniak%20Radek.jpeg
15542,FAVA Alex,FRANCE,E,M,9.250,1989-04-23,S,R,,158,FRA,https://static.fie.org/uploads/19/97287-FAVA%20Alex.png
31102,PARK Sangyoung,KOREA,E,M,9.250,1995-10-16,S,R,,159,KOR,https://static.fie.org/uploads/17/88632-KOR_Athlete_PARK_Sangyoung.jpg
44277,MARKOTA Vedran,CROATIA,E,M,9.125,2001-02-02,S,R,,160,CRO,https://static.fie.org/uploads/17/87712-foto%20MARKOTA.jpg
51409,TOBIAS Erik,ESTONIA,E,M,9.000,2004-10-28,S,R,,161,EST,https://static.fie.org/uploads/23/117597-Tobias.jpg
39079,PAOLINI Giacomo,ITALY,E,M,9.000,1998-07-20,S,R,,162,ITA,https://static.fie.org/uploads/34/170059-Paolini%20Giacomo.jpg
40452,SAURI Leandro,MEXICO,E,M,8.875,2000-12-13,S,R,,163,MEX,https://static.fie.org/uploads/23/117559-Ev%20leandro%20Sauri.jpeg
28638,CIMINI Gabriele,ITALY,E,M,8.875,1994-06-09,S,R,,164,ITA,https://static.fie.org/uploads/34/170024-CIMINI%20Gabriele.jpg
34975,ABED Faisal,SAUDI ARABIA,E,M,8.750,1998-08-19,S,R,,165,KSA,https://static.fie.org/uploads/5/29460-Abed%20Faisal.jpg
45239,KESZTHELYI Zsombor,HUNGARY,E,M,8.750,2002-12-10,S,R,,166,HUN,https://static.fie.org/uploads/24/122881-HUN_Zsombor_Keszthelyi_athlete.jpg
34260,GONELL Gerard,SPAIN,E,M,8.500,2000-11-21,S,L,,167,ESP,https://static.fie.org/uploads/16/83517-GONELL%2C%20GERARD.jpg
48854,FURUTA Ikuo,JAPAN,E,M,8.500,1997-11-07,S,R,,168,JPN,https://static.fie.org/uploads/25/129250-JPN_ATHLETE_FURUTA_IKUO_21.jpg
35828,BALCAR Josef,CZECHIA,E,M,8.500,1998-10-31,S,R,,169,CZE,https://static.fie.org/uploads/7/35913-foto_Josef_Balcar.jpg
45993,FUHRIMANN Jonathan,SWITZERLAND,E,M,8.250,2002-03-15,S,R,,170,SUI,https://static.fie.org/uploads/18/93471-sf-logo-web.png
41708,COOPER Matthew,GREAT BRITAIN,E,M,8.250,1998-06-17,S,R,,171,GBR,https://static.fie.org/uploads/18/94690-Matthew%20Cooper.jpeg
